name,logo,banner,description,tagLine,followerCount,website,domain,location,companyAddress,phone,industry,companySize,headquarters,founded,mainCompanyID,linkedinID,salesNavigatorLink,employeesOnLinkedIn,companyName,query,timestamp,companyUrl,specialties,error,isClaimable
National Telecommunication Institute (NTI),https://media.licdn.com/dms/image/C4D0BAQHaD_EFdPUo1A/company-logo_200_200/0/1562010185335?e=1691625600&v=beta&t=rfievL5psX16azaGGQOHcMhc7Bdgsk0ZDTwDczKfQ9k,https://media.licdn.com/dms/image/C4D1BAQHHX3PxdT-ZKA/company-background_10000/0/1562010245151?e=1683856800&v=beta&t=49cwnuY1uhTjxz_PUd5nxY1So-af6ZWGE_NbEPmPkJ8,"The National Telecommunication Institute (NTI), being a reputed scientific, educational and research institution founded in 1983 with the mandate of becoming the center of excellence for telecommunication education, training, research and development and consultancy services, is devoting all of its resources to the build up the pillars of development and is well prepared and well equipped more than ever to play a major role in the fast paced development of the ICT industry.",,13361.0,http://nti.sci.eg,nti.sci.eg,Giza,"Smart Village, Giza, Giza, Cairo  EG | Nasr City, Cairo, Cairo, Cairo  EG",0235342488,IT Services and IT Consulting,51-200 employees,"Giza, Cairo",1983.0,15805726.0,15805726,https://www.linkedin.com/sales/company/15805726/,626.0,National Telecommunication Institute (NTI),https://www.linkedin.com/company/15805726/,2023-05-05T01:58:34.006Z,https://www.linkedin.com/school/nti-eg/,,,
الجهاز المركزي للتعبئة العامة و الاحصاء ,,,,,865.0,,,,,,,,,,18305384.0,18305384,https://www.linkedin.com/sales/company/18305384/,236.0,الجهاز المركزي للتعبئة العامة و الاحصاء ,https://www.linkedin.com/company/18305384/,2023-05-05T01:58:53.243Z,https://www.linkedin.com/company/%D8%A7%D9%84%D8%AC%D9%87%D8%A7%D8%B2-%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A-%D9%84%D9%84%D8%AA%D8%B9%D8%A8%D8%A6%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9-%D9%88-%D8%A7%D9%84%D8%A7%D8%AD%D8%B5%D8%A7%D8%A1/,,,
(ISCC) International Staffing & Consulting Co.,https://media.licdn.com/dms/image/C4D0BAQHR_cCnSUcBnQ/company-logo_200_200/0/1611026103968?e=1691625600&v=beta&t=HHxbG9zIA__9W_eWBc5ooR8hll1MW_ZAEVgR8cpKIfU,https://media.licdn.com/dms/image/C4D1BAQET7m6ctoGTpw/company-background_10000/0/1611025877552?e=1683856800&v=beta&t=Y7BR5TUqUOvBNovrLXV4KbxfPMxc7xJGE_ed6XKiL3E,"Founded in 2005, ISCC has been a partner of choice in providing recruiting, strategic outsourcing and consulting services to mid-size and large national and multi-national organizations, across various industries. Headquartered in Beirut, Lebanon, ISCC operates in multiple countries in the Near East, Middle East and North Africa. ","ISCC is the leader in strategic outsourcing and consulting for biopharma, payers, NGO and FMCG industries in MENA.",689.0,http://www.iscc.co,iscc.co,Beirut,"Achrafieh, Beirut,   LB",,Outsourcing and Offshoring Consulting,11-50 employees,,2005.0,2205041.0,2205041,https://www.linkedin.com/sales/company/2205041/,2.0,(ISCC) International Staffing & Consulting Co.,https://www.linkedin.com/company/2205041/,2023-05-05T01:59:10.919Z,https://www.linkedin.com/company/international-staffing-&-consulting-co-iscc-sarl/,"recruiting, staffing, outsourcing, consulting, pharmaceutical, biotech, fmcg, manufacturing, and middle east",,
sonono,https://media.licdn.com/dms/image/C4D0BAQForcTl2JrLcg/company-logo_200_200/0/1572225853438?e=1691625600&v=beta&t=SpAylTvrfM-vqlNnA6Pk2FjQF6Ii22bEUGqUcHbG3NQ,https://media.licdn.com/dms/image/C4D1BAQGsAfZVDs6UyA/company-background_10000/0/1572225975694?e=1683856800&v=beta&t=TBtiYzqg0O1N-xMf1VNgy6Eo6y7WzL-W0qKv_41gSzU,"We develop complex Software systems for Web, Mobile & Blockchain

We create a working product with a thoughtful and large-scale architecture. We develop, launch, support and instruct.","Software systems for Web, Mobile & Blockchain.",425.0,https://www.sonono.ch,https://sonono.ch,Basel,"Riehenstrasse 43, Basel, Basel-Stadt 4058, CH",+41 78 846 93 92,"Technology, Information and Internet",11-50 employees,"Basel, Basel-Stadt",2019.0,30101254.0,30101254,https://www.linkedin.com/sales/company/30101254/,12.0,sonono,https://www.linkedin.com/company/30101254/,2023-05-05T01:59:29.037Z,https://www.linkedin.com/company/sonono/,"Blockchain, Hyperledger, Hyperledger Fabric, Corda, Blockchain Training, Software, Web, Design, and Mobile Apps",,
Etisalat Egypt,https://media.licdn.com/dms/image/C4D0BAQE-9CLgpO34bg/company-logo_200_200/0/1656244867773?e=1691625600&v=beta&t=OfmTKKh9Yoi8M63wy3cY-BxpaH5TXGP0NbBOkzPBkRw,https://media.licdn.com/dms/image/D4D1BAQGkfQHP5at2hw/company-background_10000/0/1679919704239?e=1683856800&v=beta&t=Dy-6eFa-kBrcbW01zv3iD2oBJlHTiKdRaz_8QwD1vbA,"Building on 15 years of technology excellence in the Egyptian market, and in our relentless quest to bring you more and better services, etisalat by e& in Egypt has now evolved into the digital telco of the future.
 
Covering and serving 99% of the inhabited areas in Egypt, our mission as etisalat by e& in Egypt is to continuously grow and transform to empower our customers by enhancing their digital experience and ensuring operation agility.
 
etisalat by e& in Egypt offers digital experiences that cater to your ever-changing lifestyle and ever-expanding demands – covering not only telecom, but a wide collection of services that suit your various needs. We will continue to be your trusted companion and consultant, enabling connectivity and everything beyond, accelerating the digital world and pioneering future-forward spaces.
 
Together, as we embark on this new era of etisalat by e& in Egypt, we make possible countless connections across continents and create the limitless possibilities of tomorrow, today.
 
etisalat by e& in Egypt #MakePossible

بعد ١٥ سنة من تفوقنا التكنولوجي في مصر، ولإننا حابين نقدم خدمات كتيرة عالية الجودة لكل عملائنا، جه الوقت إللي نطور في “اتصالات من &e في مصر” وندخل المستقبل الرقمي من أوسع الأبواب! شبكتنا النهاردة بتغطي ۹۹% من مناطق مصر، وبنطور يوم ورا يوم عشان نوصل رسالتنا بالنمو والتحول والتفوق، كل دا عشان نوفر لعملائنا أفضل تجربة رقمية، ونسرع العملية التشغيلية. النهاردة في “اتصالات من &e في مصر” إحنا جاهزين نقدملكم خدمات رقمية جديدة تسهلكو حياتكم اليومية، ومع خدمة المكالمات التقليدية، حنوفرلكم خدمات تانية كتير! لإننا بجد شريكم الموثوق، إللي بيخليكم على تواصل، وبياخدكم للمستقبل عبر تسريع الاقتصاد الرقمي والريادة.
مع “اتصالات من &e في مصر” حنبدأ مع بعض عصر جديد، ونقربكم من بعض عبر القارات، ومع بعض حنكتشف إمكانيات بكرة اللامحدودة من النهاردة.
“اتصالات من &e في مصر” ... معانا 
#makepossible",,476405.0,http://etisalat.eg,etisalat.eg,Cairo,"Fifth Setlment, Cairo,  12411, EG",,Telecommunications,"1,001-5,000 employees",,,777868.0,777868,https://www.linkedin.com/sales/company/777868/,9098.0,Etisalat Egypt,https://www.linkedin.com/company/777868/,2023-05-05T01:59:48.445Z,https://www.linkedin.com/company/etisalat-egypt/,,,
"The Translation Gate, LLC",https://media.licdn.com/dms/image/D4D0BAQEIwr412Aa3JA/company-logo_200_200/0/1664968788307?e=1691625600&v=beta&t=6BRbnNCFlRlkppTU-8eG9_u8PR8-LPn5tduwffEkw8c,https://media.licdn.com/dms/image/D4D1BAQE0UXUnWbCLxw/company-background_10000/0/1664968732216?e=1683856800&v=beta&t=-SNm9QCNSsKPSqVdCCcGARsX25erhq-BY15IW_c0q68,"Driven by a passion for language and its power to break barriers between cultures, our translation-and-localization agency was born in 2009 through the collaboration of thousands of translators and other service professionals.
Thus, we provide localization and internationalization services in more than 160 languages and 1,500 combinations, all in compliance with the ISO 9001:2015 standard for quality management systems, the ISO 17100:2015 standard for translation services, and the SAE J2450 translation quality metric for optimal language and industry-specific results. We serve hundreds of industries, organizations and independent entrepreneurs in the USA, Europe, Asia, and Africa. 

Today, we’re the leading translation-and-localization agency in the USA, Europe, Asia, and Africa. We do what we love most, which is to bring people together.

We combine the project management and production skills of experienced in-house staff with the expertise of tested, certified translators in a wide range of languages to bring you the very best in translation & localization, DTP, and multimedia services. 
We are available 24/7 all year days. So, when you're ready to achieve the next level of fluency, come meet us at The Translation Gate. We think globally . . . act locally.

From the services that we offer:
•	Translation Services
•	Website Localization
•	Globalization
•	Multicultural Marketing
•	Multimedia / Studio Solutions
•	Interpretation Services
•	IT
•	Auto-CAD Localization
•	Desktop Publishing

Along with offering translation in a wide range of industries:
•	Retail & E-Commerce
•	Life Sciences
•	Legal
•	Media & Entertainment
•	Finance
•	Advertising, Marketing & PR
•	Industrial & Manufacturing
•	Travel & Hospitality
•	Energy & Mining
•	Government
•	Transportation
•	Sports
•	Military
","Reach New Markets Globally in Any Language. 
A translation and localization company, born in 2009 in the USA.",17509.0,http://www.thetranslationgate.com,thetranslationgate.com,Florida,"Florida, USA., Florida, US",,Translation and Localization,11-50 employees,,2009.0,2229028.0,2229028,https://www.linkedin.com/sales/company/2229028/,157.0,"The Translation Gate, LLC",https://www.linkedin.com/company/2229028/,2023-05-05T02:00:06.933Z,https://www.linkedin.com/company/the-translation-gate-llc/,"Translation, Localization Engineering, DTP, Middle Eastern Languages, Marketing transcreation, Website, Games, SW Localization, Arabization, Terminology Management, QA & Testing, Multimedia Translation, Artwork and Screenshots Translation, EMEA & Asian Languages, localization, Medical Translation, Globalization, Interpretation, Auto-cad Localization, Editing, Proofreading, Patent Translation, Machine Translation, Energy and Mining Translation, Sports Translation, Military Translation, Transportation Translation, Government Translation, Travel and Hospitality Translation,  Industrial & Manufacturing Translation,  Finance Translation, Legal Translation, Life Sciences Translation, Retail and e-commerce Translation, App Localization, and Terminology Management",,
ACME SAICO - Integrated Engineering Systems -(IES),https://media.licdn.com/dms/image/D4D0BAQFBN6HufuvjsA/company-logo_200_200/0/1681908412709?e=1691625600&v=beta&t=lKL46JWxk_DjskwWG0mdgpYmA2ruUeOOlA0uvDRg-28,https://media.licdn.com/dms/image/C561BAQGWYjs3lN3euw/company-background_10000/0/1541934273600?e=1683860400&v=beta&t=L9LEVHSsJsYu4fUgAkgSTzBeSr1sUUvV0g0l7IdTDnc,"Our Core Businesses, IT Infrastructure, Networking & Data Security, Virtualization & Data Center Consolidation, and Software Development for nationwide projects.
OUR PARTNERS
DELL EMC; Cisco; VMware; Citrix; Software AG (Digital transformation); Oracle 
",,3207.0,http://www.acmesaico.com,acmesaico.com,Heliopolis,"37 A galal eldin el dsoky Almaza, Heliopolis, Cairo 11341, EG",0224179160,IT Services and IT Consulting,51-200 employees,"Heliopolis, Cairo",,18899346.0,18899346,https://www.linkedin.com/sales/company/18899346/,75.0,ACME SAICO - Integrated Engineering Systems -(IES),https://www.linkedin.com/company/18899346/,2023-05-05T02:00:25.656Z,https://www.linkedin.com/company/acmesaico-integrated-engineering-system-ies/,,,
Geeks,https://media.licdn.com/dms/image/C4E0BAQGvERMcDYFrSQ/company-logo_200_200/0/1652004614235?e=1691625600&v=beta&t=BXLCCk2N4lerKdV1IfPdKWrytpiXk9bXae6mqnrNMac,https://media.licdn.com/dms/image/D4E1BAQELB5GuwBznrw/company-background_10000/0/1654256370557?e=1683860400&v=beta&t=BB0kGkdstEttzWZscUcB5JY8bUmJrx72oLdwniiYCnw,"It all begins in a small Amman coffee shop, circa 2022, when the first spark was discovered. A team of self-proclaimed Geeks consistently performed acts of great wonder in the shadows, with only themselves as witnesses. The spark gradually built into a flame, lighting their path and propelling their journey, resulting in great accomplishments for all whom they encountered. With a history of the most intricate projects being developed and built, Geeks began to honor their name in the same way a superhero would. We're just your friendly, neighbourhood Geek Squad. Here to serve and protect… And develop, and calculate, and program, and reprogram, and troubleshoot, and have you tried switching it off and on again?",Bunch Of Geeks Doing Stuff,1084.0,http://www.geeksjo.com,geeksjo.com,Dubai,"Dubai Silicon Oasis , ADSO-THUB-G-D-FLEX-G111 , Dubai,  00000, AE",,Software Development,11-50 employees,,,85963270.0,85963270,https://www.linkedin.com/sales/company/85963270/,5.0,Geeks,https://www.linkedin.com/company/85963270/,2023-05-05T02:00:43.937Z,https://www.linkedin.com/company/geeksjo/,,,
RoQaY,https://media.licdn.com/dms/image/C4D0BAQFV5qBdZKZmeQ/company-logo_200_200/0/1662420462941?e=1691625600&v=beta&t=w2kQz29EbLBD9SM-YBS-STji5VOLMNt1ZFMkHu_SNHU,https://media.licdn.com/dms/image/D4D1BAQEWbcFYJEm5zQ/company-background_10000/0/1678350578288?e=1683860400&v=beta&t=bUW4LK7KZyWTkzBgbrFGy0EFs-JA3fTc1axMhO8P5hc,"ROQAY is a software development company Established by the end of 2015 and scaled up over the years. specialized in Mobile apps and Business applications. We’re experts at what we do, software development is our game, The largest companies count on ROQAY to provide the best software solutions for them.","We're experts at what we do, software development is our game. you can count on us to make your idea come true.",7324.0,https://www.roqay.com,https://roqay.com,Sharq,"Ahmed Elghaber st., Arzan tower, Sharq, Sharq 15000, KW",,IT Services and IT Consulting,51-200 employees,"Sharq, Sharq",2015.0,10700806.0,10700806,https://www.linkedin.com/sales/company/10700806/,54.0,RoQaY,https://www.linkedin.com/company/10700806/,2023-05-05T02:01:02.194Z,https://www.linkedin.com/company/roqaycom/,"Web development, Android Development, IOS development, Web Hosting, Web Design, Elearning, Education, and Software Development",,
TIEC,https://media.licdn.com/dms/image/C4D0BAQE2JEy7XO_k-w/company-logo_200_200/0/1583315112345?e=1691625600&v=beta&t=XmigdWxSEDBQTVwSuhyYtBt2lwgCwZBozji_HpJaQoE,,"Technology Innovation and Entrepreneurship Center (TIEC). The Center’s mission is to adopt a holistic strategy framework for driving innovation and entrepreneurship through concrete steps. 
TIEC’s mandates are to drive innovation-based exports and product commercialization, and to grow the ICT sector through incubating entrepreneurship, combined with early stage and venture financing",TIEC helps innovators and entrepreneurs raise funds and bring them close to success. ,20118.0,http://www.linkedin.com/company/TIEC_Egypt,linkedin.com/company/TIEC_Egypt,Cairo,"Smart-Village, Building (B5)., Cairo-Alexandria Desert Road Giza, Egypt, Cairo,  11817, EG",,Information Technology & Services,11-50 employees,,2010.0,1369980.0,1369980,https://www.linkedin.com/sales/company/1369980/,304.0,TIEC,https://www.linkedin.com/company/1369980/,2023-05-05T02:01:21.321Z,https://www.linkedin.com/company/tiec/,,,
