name,logo,banner,description,tagLine,followerCount,website,domain,location,companyAddress,industry,companySize,headquarters,founded,specialties,mainCompanyID,linkedinID,salesNavigatorLink,employeesOnLinkedIn,companyName,query,timestamp,companyUrl,phone,error,isClaimable
STMicroelectronics,https://media.licdn.com/dms/image/C4D0BAQFyQ-q6iu6L0g/company-logo_200_200/0/1584338976031?e=1691625600&v=beta&t=7Hw_dWDIDVAnoXuPlbonv3oD6xoDUYGZEWgc4JNRGgI,https://media.licdn.com/dms/image/C4D1BAQEZ2IeGpx-KMQ/company-background_10000/0/1584337536544?e=1683867600&v=beta&t=lEYDFjdT46_XfSM4yuW4pGzlCuwbK4wb7MLGrsuleRY,"ST is a global semiconductor leader delivering intelligent and energy-efficient products and solutions that power the electronics at the heart of everyday life. ST’s products are found everywhere today, and together with our customers, we are enabling smarter driving and smarter factories, cities and homes, along with the next generation of mobile and Internet of Things devices. By getting more from technology to get more from life, ST stands for life.augmented.","Everywhere microelectronics makes a positive contribution to people lives, ST is there",620400,https://www.st.com?src=linkedin,https://st.com?src=linkedin,Geneva,"39, Chemin du Champ des Filles, C. P. 21, Geneva, Switzerland CH 1228 Plan-Les-Ouates, CH",Semiconductor Manufacturing,"10,001+ employees","Geneva, Switzerland",1987,"MEMS & Sensors, Smart Power, Application  Processors & Digital Consumer, Automotive, MIcrocontrollers, semiconductors, silicon carbide, and GaN",1618,"1618,9650115,33431843",https://www.linkedin.com/sales/company/1618/,29114,STMicroelectronics,https://www.linkedin.com/company/1618/,2023-05-05T04:50:45.995Z,https://www.linkedin.com/company/stmicroelectronics/,,,
Ananas E-commerce,https://media.licdn.com/dms/image/C4E0BAQG-QUo6vZkbhw/company-logo_200_200/0/1609250025106?e=1691625600&v=beta&t=cWaEcfFFRSQRE-uN1oINTausA8HZWR9O_jEqP_-44qo,https://media.licdn.com/dms/image/C4E1BAQHU4-rlYyhMPQ/company-background_10000/0/1609248480189?e=1683867600&v=beta&t=5itmKJP1Lg4VcLTYE2jnD2KFFFrUBnK-wgT_9nC5AaY,Ananas e-commerce je osnovan 2020. godine u Beogradu. Naša misija je da spajamo kupce i trgovce na pouzdanoj platformi za online kupovinu. Uz pomoć inovacija i tehnologije brišemo granice i olakšavamo život ljudima.,Klik! Bum! Tras!,12470,http://ananas.rs,ananas.rs,Belgrade,"Ulica Vladimira Popovića 8a, Belgrade,  11070, RS","Technology, Information and Internet",201-500 employees,,2020,,74450238,74450238,https://www.linkedin.com/sales/company/74450238/,185,Ananas E-commerce,https://www.linkedin.com/company/74450238/,2023-05-05T04:50:59.411Z,https://www.linkedin.com/company/ananas-e-commerce/,,,
Oslo politidistrikt,https://media.licdn.com/dms/image/C4E0BAQHWGz5ja5T03w/company-logo_200_200/0/1616165220919?e=1691625600&v=beta&t=zWlWJbBDpJ6qrG6KENgqM8g_eSbYJWhid9WcQCWuEhw,https://media.licdn.com/dms/image/C4D1BAQF6v5NeK_HzyA/company-background_10000/0/1561559475551?e=1683867600&v=beta&t=pfg0ms_R8soTL765DZQ9Y5Qc8O-n34P6PP0NVU4JBlE,"Oslo politidistrikt er Norges største politidistrikt målt i innbyggertall, med en befolkning på rundt 911.970 mennesker. Det omfatter tre kommuner: Oslo, Asker og Bærum. I geografisk utstrekning er det derimot et lite politidistrikt, men har ansvar for en relativt stor del av den registrerte kriminaliteten i Norge.

Distriktet har ca. 3000 ansatte: 66,2% er politi, 5,3% er jurister og 26,4% er sivilt ansatte. Det gir Oslo politidistrikt en politidekning på 2,17 per 1000 innbygger.

Oslo politidistrikt har flere oppgaver av nasjonal karakter. Hovedstaden er både sete for Kongehus, Storting og regjering - det er også her departementene og hovedtyngden av direktoratene, og kultur- og finansinstitusjonene er plassert. I tillegg ligger Beredskapstroppen, Helikoptertjenesten, Bombegruppen og Krise- og gisselforhandlingsseksjonen til distriktet.

Reform 2015–2016
Som ledd i nærpolitireformen ble Oslo politidistrikt slått sammen med Asker og Bærum politidistrikt 1. januar 2016. Alle landets politidistrikter er i dag organisert likt (unntaket for Oslo er de nasjonale bistandsressursene):
- Felles enhet for operativ tjeneste
- Felles kriminalenhet
- Felles enhet for etterretning og etterforskning
- Felles enhet for forebygging
- Felles enhet for påtale
- Felles enhet for utlending og forvaltning
- Felles enhet for sivil rettspleie (namsfogd)
- Felles enhet for nasjonale bistandsressurser
- Enhet sentrum
        Grønland politistasjon
        Sentrum politistasjon
- Enhet vest
        Asker politistasjon
        Bærum politistasjon
        Majorstuen politistasjon
- Enhet øst
        Manglerud politistasjon
        Stovner politistasjon

I tillegg har distriktet en kommunikasjonsstab, en HR- og HMS-stab, en virksomhetsstyringsstab og en internrevisjonsstab.",,6823,http://www.politiet.no,politiet.no,Oslo,"Grønlandsleiret 44, Oslo, Oslo 0190, NO",Law Enforcement,"1,001-5,000 employees","Oslo, Oslo",,,3092140,3092140,https://www.linkedin.com/sales/company/3092140/,984,Oslo politidistrikt,https://www.linkedin.com/company/3092140/,2023-05-05T04:51:12.913Z,https://www.linkedin.com/company/oslo-politidistrikt/,,,
Everteam,https://media.licdn.com/dms/image/C4D0BAQGysq71MwLPMQ/company-logo_200_200/0/1583854476497?e=1691625600&v=beta&t=3w6Mi3IJTFU9ApZjWjE6hF6SIRNRVvDBtrScqKsqr0Y,https://media.licdn.com/dms/image/C561BAQH3DDTWIj3hMw/company-background_10000/0/1552506421280?e=1683867600&v=beta&t=tp7oZgKlQBK6yJkGdKXRcS6-RRk6Qnkzu_jANDH91oU,"HELPING CUSTOMERS TAKE CONTROL OF THEIR INFORMATION

Everteam brings 30 years of experience and innovation to the field of Information Governance and Enterprise Content Management. We offer a complete content services platform for Information Governance. In an ever increasing legal and compliance environment, everteam solutions enables enterprises to build and manage content-driven processes that support a range of business opportunities.

In January 2020, Everteam became part of the Kyocera Group (more than 76,000 employees worldwide, $14.6 billion in turnover), thus benefiting from new development and growth levers to be used for the benefit of all its customers.

Everteam's offices are located in France (Paris and Lyon) and Switzerland (Geneva).

Website: https://www.everteam.com/",Take Control of your Information,11722,http://www.everteam.com,everteam.com,Paris,"336, rue Saint-Honoré, Paris, 75001, FR",Software Development,201-500 employees,,1990,"Enterprise Content Management, Archiving & Records Management, Case Management & Workflow, ECM, Information Governance, Content Services, vracs numériques, digital bulk, data archiving, and data analyzing",89815,89815,https://www.linkedin.com/sales/company/89815/,180,Everteam,https://www.linkedin.com/company/89815/,2023-05-05T04:51:26.293Z,https://www.linkedin.com/company/ever-team/,+33 4 26 68 33 00,,
Eime Continuing Education Center ,https://media.licdn.com/dms/image/C4D0BAQGAz7zsSD6Hug/company-logo_200_200/0/1543415512111?e=1691625600&v=beta&t=KMt9ZeXjDlzWOngkbpW7_RO7TjQBNKf1g4j1gAISt58,https://media.licdn.com/dms/image/C4E1BAQHPpOc9CPQZ9g/company-background_10000/0/1544433759570?e=1683867600&v=beta&t=PXOgzMGC81Y2tuBpEO1tdztL9L9VAufzPAc31mW6Tt4,"Our Mission includes:
1. Educate and build  knowledge through variety of educational programs designed to provide students with various science and knowledge which qualify them to enter the labor market and support economy and social development programs.
2. community service through provision of education and guiding programs, and participate in the delivery of social services and public awareness.
3. Build cadres of educational leaders capable of providing educational advice and guidance.","Never Stop Learning!.
Continuing education is for all, whatever your age, education degree, job, or gender.",181,https://www.facebook.com/eime.cec,https://facebook.com/eime.cec,Alexandria,"19 Coptic Church, St. Mark Cathederal , Alexandria,   EG",Education Administration Programs,2-10 employees,,2013,,12974663,12974663,https://www.linkedin.com/sales/company/12974663/,10,Eime Continuing Education Center ,https://www.linkedin.com/company/12974663/,2023-05-05T04:51:39.771Z,https://www.linkedin.com/company/eime-continuing-education-center/,01208581300,,
,,,,,,,,,,,,,,,,,,,,https://www.linkedin.com/company/24780140/,2023-05-05T04:52:02.499Z,,,Unavailable company,
HSBC,https://media.licdn.com/dms/image/C560BAQGbwpCoexVW1A/company-logo_200_200/0/1656662751977?e=1691625600&v=beta&t=BZwQSa_Q3KrY8KrURD-kRRX37eGLfSkTCNLdLbCSlEk,https://media.licdn.com/dms/image/C561BAQE6by2tvFTF4w/company-background_10000/0/1645491963574?e=1683867600&v=beta&t=HNqQuyf8i8ar6RjgE0YgfORoyTv8X3D7stxEGbrpTBQ,"Opening up a world of opportunity for our customers, investors, ourselves and the planet.

We're a financial services organisation that serves more than 40 million customers, ranging from individual savers and investors to some of the world’s biggest companies and governments. Our network covers 63 countries and territories, and we’re here to use our unique expertise, capabilities, breadth and perspectives to open up a world of opportunity for our customers. 

HSBC is listed on the London, Hong Kong, New York, Paris and Bermuda stock exchanges.

To view our social media terms and conditions please visit the following webpage: http://www.hsbc.com/social-TandCs",,3318660,http://www.hsbc.com,hsbc.com,London,"8 Canada Square, London, E14 5HQ, GB",Financial Services,"10,001+ employees",,,"Banking, Financial Services, International Finance and Banking, Wealth Management, Corporate and Business Banking, retail banking, Insurance, Retail Banking, Investment Banking, Commercial Banking, Private Banking, and Asset Management",1241,1241,https://www.linkedin.com/sales/company/1241/,166414,HSBC,https://www.linkedin.com/company/1241/,2023-05-05T04:52:16.230Z,https://www.linkedin.com/company/hsbc/,,,
Tekunda,https://media.licdn.com/dms/image/C4D0BAQH4GKid9d0l2g/company-logo_200_200/0/1653564361314?e=1691625600&v=beta&t=NaGMjhZSbgeyLtIGOEI-zpAgUecUkMWf5BRxIR3MTgs,https://media.licdn.com/dms/image/C4D1BAQGytf4CdyBk2Q/company-background_10000/0/1644502835292?e=1683867600&v=beta&t=R1ZyFiKVqfkDn2qZ575_5T-fNWF1Jvh6CYmEkIoTYTw,"Salesforce DevOps made simple!

Exhausted from fiddling with changesets, metadata deployment, or Salesforce DX? Bored from waiting for sandboxes to be ready?

Schedule a demo to find out more about how Tekunda can supercharge your Salesforce DevOps strategy today empowering you to stay ahead of your competition!

Comprehensive DevOps, backup and release management solutions for every salesforce team.

Gone are the days of manually tracked changsets that can't be rolled back or time consuming and complex ant packages

Powerful DevOps solutions for faster and more reliable Salesforce releases

Source control your org's metadata, roll back changes, run tests on pull requests, automated backups, and continuous deployment and integration",Salesforce DevOps made simple!,777,https://tekunda.com,https://tekunda.com,Cairo,"Cairo, EG",Information Technology & Services,2-10 employees,,2019,"salesforce, development, Consultancy , technology, experience, salesforcedevelopment, ISV, app development, and software development",78321736,78321736,https://www.linkedin.com/sales/company/78321736/,6,Tekunda,https://www.linkedin.com/company/78321736/,2023-05-05T04:52:32.062Z,https://www.linkedin.com/company/tekunda/,,,
,,,,,,,,,,,,,,,,,,,,https://www.linkedin.com/company/70409714/,2023-05-05T04:52:54.619Z,,,Unavailable company,
Triptab,https://media.licdn.com/dms/image/C4E0BAQEVkygun_XIDQ/company-logo_200_200/0/1519903490530?e=1691625600&v=beta&t=gKiHXmZftI4CG0kSi1Otxww9fBtaheI8WCbip14SfNk,https://media.licdn.com/dms/image/C4E1BAQFWQIm2NCK2Kg/company-background_10000/0/1519801133025?e=1683867600&v=beta&t=qYIrOmQFya8vGQpYPE9CPfDukRROBeBp0TrNQ78sNNI,"Triptab is a B2B2C company with a mission to transform the travel experience for customers in the MENA region. 
We offer a smart aggregation for travel packages with state of the art technologies.

Triptab.com assembles 600+ offline travel agencies and travel service providers on one website. Which means one-stop for customers to unlock the best, the cheapest, and the most hassle-free ‘travel packages and offers’ both locally and worldwide.

At Triptab, we offer B2B services to make the travel experience easier and more convenient. Starting from planning the trip, ensuring your stay is well taken care of until you get back home safely and satisfied with the whole experience.

Our products

Nory: the first AI-powered digital travel assistant in the MENA region. 
iKemet: An application created in collaboration with the Egyptian government to digitalize the tourism industry in Egypt. ",Web-based solution  helping the customer to unlock vacation packages,209,http://www.triptab.com,triptab.com,Giza,"28 Cairo-Alexandria Road - Smart Village , Building (B5), Giza, Giza 12577, EG",Travel Arrangements,2-10 employees,"Giza, Giza",2015,"online travel booking, Trip packages, Travel offers, cheap trip packages, virtual assistance, Travel technology, Travel Business Solutions, B2B, Trips Payment in Installment, and Guaranteed Security",5249989,5249989,https://www.linkedin.com/sales/company/5249989/,7,Triptab,https://www.linkedin.com/company/5249989/,2023-05-05T04:53:08.378Z,https://www.linkedin.com/company/triptab/,,,
