University,Degree,Date,User
Information Technology Institute (ITI),Nov 2021 - Jun 2022,,%D9%90%D9%90amiraelmergawy
Ain Shams University,"Bachelor's degree, Computer Science",2016 - 2020,%D9%90%D9%90amiraelmergawy
Information Technology Institute (ITI),"Internship, Web Development using MEARN Stack",Dec 2021,-ezz
Al-Azhar University,Geophysics and Seismology,Sep 2015 - Aug 2019,-ezz
"Faculty of Petroleum and Mining Engineering, Suez University","Bachelor's degree, Petroleum Engineering",2015 - 2020,1212mohamedtaha
Udacity,"Nanodegree, Digital Marketing",2020 - 2020,1212mohamedtaha
Information Technology Institute (ITI),PHP Full Stack Diploma,Mar 2021 - Aug 2021,3omarbadr
Al-Azhar University,"Bachelor of Engineering, Computer Engineering",2013 - 2018,3omarbadr
Ain Shams University,"Bachelor of Engineering (B.Eng.), Computers and Systems Engineering",2013 - 2018,a-mohsen
"Al-Azhar University , Faculty of Engineering","Very good with honors, Computers and systems",2011 - 2016,a-nan-farag-b78a0b12b
October 6 University,"Bachelor's degree, Computer Engineering",2014 - 2019,a-saeed-h
Cairo University,"Bachelor's degree, Communications and Computer Engineering",2014 - 2019,a-youssry
Dar El Tarbiah IGCSE,High School,,a-youssry
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",2017 - 2022,aaarafat
Information Technology Institute (ITI),"Deploma, Unix Department",2007 - 2008,aabdelsattaar
Cairo University,"Good, Electronic and Communication",2002 - 2007,aabdelsattaar
Mansoura University,"Bachelor's degree, Computer Science",,aalaa-maher
Cairo University,"Bachelor's degree, Computer Engineering",Sep 2017 - Jul 2022,aashrafh
Practicum USA,Web Development,2020 - 2020,aazmy
Modern Academy Maadi,"Bachelor's degree, Computer Engineering",,aazmy
Faculty of Computer and Information - Cairo University,"B.S. of Computer Science, Computer Science and Information System",2009 - 2013,abanoub-labib-706b1a50
Faculty of Engineering Cairo University,"Bachelor’s Degree, Electrical, Electronic and Communications Engineering",Sep 2011 - Jul 2016,abanoubanis
Modern Academy Maadi,"Bachelor's degree, Computer Science",2013 - 2017,abdallah-95
Faculty of engineering Alexandria university,Electrical and Electronics Engineering,2017 - 2021,abdallah-mahmoud-6b08b914b
Cairo University,"Electrical, Electronics and Communications Engineering",Sep 2016 - Jul 2021,abdallah-rashad-28973a218
Cairo University,"Bachelor's degree, Computer Engineering",Jan 2018 - Aug 2022,abdallahabusedo
Mansoura University,"Bachelor's degree, Electronics and Communication Engineering",Sep 2016 - Jul 2021,abdallahamdy
Information Technology Institute (ITI),"Technical Diploma, Web &amp; Mobile Applications Development",2017 - 2018,abdallasoliman
Alexandria higher institute of engineering and technology,"Bachelor's degree, Bachelor of Engineering in Computer Engineering",2013 - 2017,abdallasoliman
Information Technology Institute (ITI),"deploma, Open Source Technologies",Oct 2021 - Jun 2022,abdeladl-shaheen-a313b8164
Zagazig University,"درجة البكالوريوس , computer science",2017 - 2021,abdeladl-shaheen-a313b8164
Udacity,Nodejs backend developement,,abdeladl-shaheen-a313b8164
"Faculty of Electronic Engineering, Menoufia University","Bachelor's degree, Electrical, Electronics and Communications Engineering",2012 - 2019,abdelbaseer-shaheen-b078721a2
Alexandria University,"Bachelor of Engineering - BE, Computer and Systems Engineering",2015 - 2022,abdelhakeem
Higher Technological Institute,"Bachelor of Science - BS, Mechatronics, Robotics, and Automation Engineering",2013 - 2018,abdelhameed-hassan
Zewail City of Science and Technology,"Bachelor of Engineering - BE, Communication and Information Technology Engineering",Sep 2015 - Sep 2021,abdelmoez-elsaadany
Information Technology Institute (ITI),"Software Developer, Computer Programming, Specific Applications",2016 - 2017,abdelmotey
Cairo University,"Pre-Master Course, City/Urban, Community and Regional Planning",2015 - 2016,abdelmotey
Minufiya University,"Bachelor's degree, Architecture",2009 - 2014,abdelmotey
Udacity,"Nanodegree, Web Development Professional",2020 - 2020,abdelnazir
Mansoura University,"Bachelor of Commerce (BCom), Accounting",2005 - 2009,abdelnazir
Udacity,"egFWD Diploma in Software Testing (Automation + Performance), Software Testing",Dec 2022 - Feb 2023,abdelrahman-akl
Information Technology Institute (ITI),"Diploma, Software Testing",Apr 2022 - Aug 2022,abdelrahman-akl
Alexandria Higher Institute of Engineering and Technology,"4th year student, Mechatronics, Robotics, and Automation Engineering",2016 - 2020,abdelrahman-akl
Shoubra Faculty of Engineering - Benha University,"Associate's degree, Computer Software Engineering",2016 - 2021,abdelrahman-ellethy-b840b3153
Cairo University,"Bachelor's degree, Computer Science",2013 - 2017,abdelrahman-hammam-7b090b9b
Mansoura University,"Bsc, Computer Science",2018 - 2022,abdelrahman-kh-fouad
Cairo University,"Bachelor's degree, Computer Engineering",2017 - 2022,abdelrahman-mamdouh-60b318157
Cairo University,"Bachelor's degree, Faculty of Computers &amp; artificial intelligence (IS)",Sep 2017 - Jul 2021,abdelrahman-mohamedd
Om El-Abtal governmental language school,"Secondary education, Scientific mathematics",2014 - 2017,abdelrahman-mohamedd
Ain Shams University,"Bachelor's degree, Computer Science",Sep 2018 - Jul 2022,abdelrahman-osama-074758246
HarvardX,"Diploma of Education, Computer Science",Aug 2020 - Nov 2020,abdelrhman-basyoni
HarvardX,"Diploma of Education, web development",Jul 2020 - Aug 2020,abdelrhman-basyoni
modern academy for engineering &amp; technology,"Bachelor's degree, Engineering",2013 - 2017,abdelrhman-basyoni
Cairo University,"Bachelor's degree, Information Technology",2011 - 2015,abdelrhman-elsaadi-41773070
faculty of computer and information science ain shams university,2014 - 2018,,abdelrhman-mohamed-ashraf-7bb43410b
Loughborough University,"Bachelor's degree, Computer Science",2014 - 2017,abdelrhman-mostafa-087808168
The British University in Egypt,"Bachelor's degree, Informatics and Computer Science",2014 - 2017,abdelrhman-mostafa-087808168
Collège De La Salle,"High School Diploma, French Thanwya Aama",2000 - 2014,abdelrhman-mostafa-087808168
Helwan University Cairo,"Bachelor of Engineering - BE, Communication Engineering",2016 - 2022,abdelrhmanafifi
Faculty of Computer and Information - Cairo University,"Faculty of Computer and Information - Cairo University, Information Technology",2011 - 2015,abdofawzi5
high technology institute,"bachelor of computer science , Computer Science",2013 - 2017,abdolrhman
Ain Shams University,"Bachelor's degree, Mechatronics Engineering",2016 - 2021,abdomagdy
Faculty of Engineering Cairo University,"Bachelor's degree, Computer Engineering",2013 - 2018,abdullah-alhadidi
Information Technology Institute (ITI),"Trainee, Embedded System Track",Nov 2021 - Jun 2022,abdullah-hanfy
Helwan University Cairo,"Student , Electrical, Electronics and Communications Engineering",2015 - 2020,abdullah-hanfy
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",Sep 2018 - Jul 2023,abdullahadel41
Cairo University,"Bachelor of Science - BS, Computer Science",Jan 2013 - Jul 2020,abdulrahman-fouad-066763104
