Title,Issuer,Date,User
Algorithms Analysis and Data Structures,Pluralsight,Issued Oct 2022,%D9%90%D9%90amiraelmergawy
Designing RESTful Web APIs,Pluralsight,Issued Sep 2022,%D9%90%D9%90amiraelmergawy
Programming Using C,Sololearn,Issued Aug 2022,%D9%90%D9%90amiraelmergawy
Advanced Express,LinkedIn,Issued Mar 2022,-ezz
Advanced Node.js,LinkedIn,Issued Mar 2022,-ezz
Angular: Building Large Applications,LinkedIn,Issued Mar 2022,-ezz
Microsoft Excel for Scientists and Engineers,Udemy,Issued Dec 2020,1212mohamedtaha
Machine Learning Speciality,Amazon Web Services (AWS),Issued Feb 2022 · Expires Feb 2025,1212mohamedtaha
An Entire MBA in 1 Course:Award Winning Business School Prof,Udemy,Credential ID UC-05c460ec-a585-451e-9e97-7f712facf493,1212mohamedtaha
Programming Foundations: Fundamentals,LinkedIn,Issued Sep 2021,3omarbadr
Building Web Applications in PHP,Coursera,Issued Jul 2021,3omarbadr
Web specialization- Challenge track,Udacity,Issued May 2021,3omarbadr
Python (Advanced) Certificate,HackerRank,Issued Sep 2020,a-mohsen
Neural Networks and Deep Learning,Coursera,Issued Nov 2017,a-mohsen
Usable Security,Coursera,Issued Aug 2017,a-mohsen
React Native,Udemy,Issued Aug 2021,a-saeed-h
Udacity Front-End Web Development Nano-Degree,Udacity,Issued May 2021,a-saeed-h
Next.js,Udemy,Issued Jan 2021,a-saeed-h
IBM Blockchain Essentials,IBM,Issued Aug 2018,a-youssry
Algorithmic Toolbox,Coursera,Credential ID 4QTMXLKAM6L5,aaarafat
Algorithms on Graphs,Coursera,Credential ID Y54GFE4QU77V,aaarafat
Algorithms on Strings,Coursera,Credential ID R59DZZ3Y5S7Z,aaarafat
C# (Basic),HackerRank,,aalaa-maher
JavaScript (Intermediate),HackerRank,,aalaa-maher
Programming with Google Go,Coursera,Issued Aug 2021,aashrafh
Machine Learning,Coursera,Issued Sep 2020,aashrafh
Data Structures,Coursera,Issued Jun 2019,aashrafh
Machine Learning in Mobile Applications,LinkedIn,Issued Jul 2020,abanoub-labib-706b1a50
Embedded system,IMT school,Issued Jul 2020,abdallah-mahmoud-6b08b914b
Plc advanced,"EGYCET ""الشركة المصرية للتدريب الهندسى""​",Issued Oct 2019,abdallah-mahmoud-6b08b914b
Plc based,"EGYCET ""الشركة المصرية للتدريب الهندسى""​",Issued Jul 2019,abdallah-mahmoud-6b08b914b
Artificial intelligence &amp; Machine learning,BARQ Systems,Issued Jun 2021 · Expired Jun 2021,abdallahabusedo
Attendance of Red Hat System Administration ll (RH134-9.0),Red Hat,Issued Apr 2023,abdallahamdy
Attendance of Red Hat System Administration l (RH124-9.0),Red Hat,Issued Mar 2023,abdallahamdy
Natural Language Processing in TensorFlow,Coursera,Issued May 2021,abdallahamdy
HCIA (AI),Huawei,Issued Nov 2020,abdeladl-shaheen-a313b8164
Open Source Web development,Information Technology Institute (ITI),Issued Sep 2020,abdeladl-shaheen-a313b8164
digital marketing,Google,Issued Sep 2019,abdeladl-shaheen-a313b8164
Data scientist,Amazon Web Services (AWS),Issued Nov 2021,abdelbaseer-shaheen-b078721a2
HCIP AI,Huawei,Issued Oct 2021,abdelbaseer-shaheen-b078721a2
HCIP Big Data,Huawei,Issued Oct 2021,abdelbaseer-shaheen-b078721a2
HackerRank JavaScript Certificate,HackerRank,Issued Mar 2021,abdelhameed-hassan
Problem Solving Certificate,HackerRank,Issued Mar 2021,abdelhameed-hassan
German Language B1 Certified,DFA - Accredited German Institute,Issued Mar 2018,abdelhameed-hassan
Spanish Course: Salamanca A2,Universidad de Salamanca,Issued Jul 2014,abdelmotey
Chinese basic conversation level 2,中国文化中心开罗 (Chinese culture center at Cairo),,abdelmotey
Microsoft young programmer,Microsoft,,abdelmotey
BPMN 2.0,Camunda,Issued Mar 2022,abdelnazir
Web Development Professional,Udacity,Issued Sep 2020,abdelnazir
Angular Front To Back,Udemy,,abdelnazir
Intro to Testing Machine Learning Models,TestAutomationU,Issued Apr 2022,abdelrahman-ellethy-b840b3153
Database Fundamentals,Information Technology Institute (ITI),Issued Mar 2022,abdelrahman-ellethy-b840b3153
Exploring Service APIs Through Test Automation,TestAutomationU,Issued Mar 2022,abdelrahman-ellethy-b840b3153
Python core and advanced,Udemy,Issued Nov 2018,abdelrahman-hammam-7b090b9b
Algorithms on Graphs,Coursera Course Certificates,Issued May 2018,abdelrahman-hammam-7b090b9b
Algorithms Toolbox,Coursera Course Certificates,Issued Apr 2018,abdelrahman-hammam-7b090b9b
Algorithms on Graphs,Coursera,Issued Nov 2022,abdelrahman-kh-fouad
Data Structures,Coursera,Issued Nov 2022,abdelrahman-kh-fouad
Object Oriented Programming in Java Specialization,Coursera,Issued Nov 2020,abdelrahman-kh-fouad
Advanced Data Analysis Nanodegree,Udacity,Issued Sep 2020,abdelrahman-mamdouh-60b318157
