User,Skill1,Skill2,Skill3
%D9%90%D9%90amiraelmergawy,Programming,Web Development,Java
-ezz,Web Development,JavaScript,Node.js
1212mohamedtaha,Natural Language Processing (NLP),DataStage,Teradata
3omarbadr,PHP,Laravel,MySQL
a-mohsen,Google Cloud Platform (GCP),Optimization,Scalability
a-nan-farag-b78a0b12b,Java,Microservices,Spring Framework
a-saeed-h,Design System,Chakra UI,RTK
a-youssry,Teamwork,Research,C
aaarafat,Front-end Development,React.js,JavaScript
aabdelsattaar,Linux,Red Hat Linux,Shell Scripting
aalaa-maher,ASP.NET,ASP.NET MVC,Angular
aashrafh,Material-UI,TypeScript,React.js
aazmy,Software Development Life Cycle (SDLC),Software Architectural Design,DevOps
abanoub-labib-706b1a50,SwiftUI,Swift (Programming Language),C# .Net
abanoubanis,ASP.NET,Angular,SOLID Design Principles
abdallah-95,C#,Java,SQL
abdallah-mahmoud-6b08b914b,UDS protocol,Bootloader,Vector cast
abdallah-rashad-28973a218,Embedded C,Embedded Software Programming,Microcontrollers
abdallahabusedo,Next.js,TypeScript,Redux.js
abdallahamdy,Windows Server,Red Hat Enterprise Linux (RHEL),Python
abdallasoliman,Programming,Software Development,Databases
abdeladl-shaheen-a313b8164,HTML,CSS,Microsoft Excel
abdelbaseer-shaheen-b078721a2,Tableau,Oracle SQL Developer,PySpark
abdelhakeem,Qt,Dear ImGui,CMake
abdelhameed-hassan,React.js,TypeScript,JavaScript
abdelkader-zayed-7959b2a3,JavaScript,CSS,ASP.NET
abdelmoez-elsaadany,Python (Programming Language),Machine Learning,Deep Learning
abdelmotey,Web Development,JavaScript,Git
abdelnazir,HTML 5,HTML,XHTML
abdelrahman-akl,Automation,ISTQB,Agile Methodologies
abdelrahman-ellethy-b840b3153,Customer Service,Customer Support,Software Testing(ISTQB)
abdelrahman-hammam-7b090b9b,Agile Project Management,Software Testing,REST APIs
abdelrahman-mamdouh-60b318157,Data Analysis,Verilog,VHDL
abdelrahman-mohamedd,MERN Stack,Mean Stack,Front-End Development
abdelrahman-osama-074758246,Functional Testing,Performance Testing,Selenium WebDriver
abdelrhman-basyoni,NestJS,TypeScript,Node.js
abdelrhman-elsaadi-41773070,OOP,Web Development,Healthcare Information Technology (HIT)
abdelrhman-mohamed-ashraf-7bb43410b,Linux,programming language c#,Web Application Security
abdelrhman-mostafa-087808168,Microservices,GraphQL,TypeScript
abdelrhmanafifi,UDS,Bootloader,Embedded Software
abdofawzi5,postgre,postgres,PostGIS
abdolrhman,PostgreSQL,Socket.io,redux
abdomagdy,JavaScript,React.js,Redux.js
abdullah-alhadidi,Software Development,Game Development,C++
abdullah-hanfy,AUTOSAR,Embedded Systems,C++
abdullahadel41,Express.js,React.js,Vue.js
abdulrahman-fouad-066763104,Jakarta Persistence,JavaFX,Hibernate
abdulrahman-shahat-499862181,python,computer vision,open-cv
abdulrahmanmahmoud,java,HTML5,Python (Programming Language)
adel-el-nabarawy-25a3391b7,Machine Learning,Data science,Python
adel-m-aek,Multithreading,Python scripting,Qt C++
adel-sadek-1aa018148,HTML,JavaScript,Css
adham-hesham-15b8b21a9,C++,Qt,Machine Learning
adham-mamdouh-1941b518b,Go (Programming Language),Ruby on Rails,Ruby
aelrewaidy,Python (Programming Language),Machine Learning,Natural Language Processing (NLP)
aessam,Software Development,Mobile Applications,Android
ahmad-adel-elkilany-3b48a5109,C (Programming Language),Python (Programming Language),Programming
ahmad-gadallah-33060a17a,C++,Object-Oriented Programming (OOP),Data Structures
ahmaddosama,Regression Analysis,Test Automation,Agile Methodologies
ahmadhindawy,Atmel AVR,Arduino,Eagle PCB
ahmawad96,"Extract, Transform, Load (ETL)",SQL,Extract Load Transform (ELT)
