Organization,Role,Date,User
Community Development Volunteer,CS Camp,Aug 2019 - Nov 2020 · 1 yr 4 mos,%D9%90%D9%90amiraelmergawy
Volunteer translator,Translators without Borders,May 2020 - Present · 3 yrs,1212mohamedtaha
Content creator at AAPG Suez blog,AAPG SU SC,Sep 2018 - Dec 2018 · 4 mos,1212mohamedtaha
Android Developer,AAPG SU SC,Aug 2017 - Apr 2019 · 1 yr 9 mos,1212mohamedtaha
Public Relations Specialist,Az-SENCS | معرض هندسة النظم والحاسبات,Dec 2015 - May 2018 · 2 yrs 6 mos,3omarbadr
Public Relations Specialist,IEEE Al-Azhar,Apr 2017 - Mar 2018 · 1 yr,3omarbadr
Public Relations Member,TEDxAzharUniversity,Jan 2017 - Jan 2018 · 1 yr,3omarbadr
Volunteer,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Jul 2012 - Aug 2015 · 3 yrs 2 mos,a-mohsen
Public Relations Specialist,IEEE Women in Engineering - CUSB,Jul 2018 - Aug 2019 · 1 yr 2 mos,a-saeed-h
Volenteer,Resala,Children,aabdelsattaar
IT Engineer,IEEE Modern Academy Student Branch,Sep 2014 - Feb 2015 · 6 mos,aazmy
Public Speaker,Club Mezan,Sep 2014 - Jun 2015 · 10 mos,abdelhameed-hassan
Graphic Designer,Enactus,Sep 2016 - Dec 2018 · 2 yrs 4 mos,abdelmoez-elsaadany
Conservation Intern,ICCROM,Jul 2011 - Sep 2011 · 3 mos,abdelmotey
Head of Social research committee at ENSAN project team.,Life Makers Foundation,Jan 2019 - Present · 4 yrs 4 mos,abdelrahman-akl
Member in Organizing and Project management committee [OPM],Microsoft Student Partners | CEE,Apr 2019 - Apr 2020 · 1 yr 1 mo,abdelrahman-akl
Member in Mersal El kheir.,Mersal El Kheir at AIET,Apr 2019 - Aug 2020 · 1 yr 5 mos,abdelrahman-akl
Volunteer,Baheya Foundation,Mar 2020 - Mar 2022 · 2 yrs 1 mo,abdelrahman-ellethy-b840b3153
Volunteer,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Jul 2019 - Nov 2019 · 5 mos,abdelrahman-mamdouh-60b318157
FCAI CU Students Union,Faculty of Computers and Information - Cairo University,Sep 2017 - Aug 2021 · 4 yrs,abdelrahman-mohamedd
Recycling Coordinator,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Feb 2013 - Present · 10 yrs 3 mos,abdelrahman-mohamedd
Publications Editor,Eng Break,Aug 2018 - May 2019 · 10 mos,abdelrahman-mohamedd
fundraising volunteer,IEEE,Jan 2015 - Jan 2016 · 1 yr,abdelrhman-basyoni
Head Of Project Management,Enactus,Jan 2015 - Jan 2016 · 1 yr,abdelrhman-basyoni
Head Of Marketing,Enactus,Jan 2016 - Jan 2017 · 1 yr,abdelrhman-basyoni
Cofounder,Re;Source,Nov 2014 - Present · 8 yrs 6 mos,abdofawzi5
Technical Team CEO and Community Vice,Challenge,Jul 2011 - Feb 2014 · 2 yrs 8 mos,abdofawzi5
Technical Team Member,Robotics Student Organization,Jun 2018 - Feb 2020 · 1 yr 9 mos,abdullah-hanfy
Class Representative,Faculty of Engineering Cairo University,Sep 2019 - Aug 2021 · 2 yrs,abdullahadel41
Head of Web Development Committee,Energia Powered,Sep 2021 - Aug 2022 · 1 yr,abdullahadel41
