University,Degree,Date,User,university_name,faculty_name
information technology institute (iti),nov 2021 - jun 2022,,%D9%90%D9%90amiraelmergawy,#iti,
ain shams university,"bachelor's degree, computer science",2016 - 2020,%D9%90%D9%90amiraelmergawy,ain shams,computer
information technology institute (iti),"internship, web development using mearn stack",Dec 2021,-ezz,#iti,
al-azhar university,geophysics and seismology,Sep 2015 - Aug 2019,-ezz,azhar,science
"faculty of petroleum and mining engineering, suez university","bachelor's degree, petroleum engineering",2015 - 2020,1212mohamedtaha,,petroleum
information technology institute (iti),php full stack diploma,Mar 2021 - Aug 2021,3omarbadr,#iti,
al-azhar university,"bachelor of engineering, computer engineering",2013 - 2018,3omarbadr,azhar,computer
ain shams university,"bachelor of engineering (b.eng.), computers and systems engineering",2013 - 2018,a-mohsen,ain shams,computer
"al-azhar university , faculty of engineering","very good with honors, computers and systems",2011 - 2016,a-nan-farag-b78a0b12b,azhar,computer
october 6 university,"bachelor's degree, computer engineering",2014 - 2019,a-saeed-h,october,computer
cairo university,"bachelor's degree, communications and computer engineering",2014 - 2019,a-youssry,cairo,computer
cairo university,"bachelor of engineering - be, computer engineering",2017 - 2022,aaarafat,cairo,computer
information technology institute (iti),"deploma, unix department",2007 - 2008,aabdelsattaar,#iti,art
cairo university,"good, electronic and communication",2002 - 2007,aabdelsattaar,cairo,electronic
mansoura university,"bachelor's degree, computer science",,aalaa-maher,mansoura,computer
cairo university,"bachelor's degree, computer engineering",Sep 2017 - Jul 2022,aashrafh,cairo,computer
practicum usa,web development,2020 - 2020,aazmy,,
modern academy maadi,"bachelor's degree, computer engineering",,aazmy,modern academy,computer
faculty of computer and information - cairo university,"b.s. of computer science, computer science and information system",2009 - 2013,abanoub-labib-706b1a50,cairo,computer
faculty of engineering cairo university,"bachelor’s degree, electrical, electronic and communications engineering",Sep 2011 - Jul 2016,abanoubanis,cairo,electronic
modern academy maadi,"bachelor's degree, computer science",2013 - 2017,abdallah-95,modern academy,computer
faculty of engineering alexandria university,electrical and electronics engineering,2017 - 2021,abdallah-mahmoud-6b08b914b,alexandria,electronic
cairo university,"electrical, electronics and communications engineering",Sep 2016 - Jul 2021,abdallah-rashad-28973a218,cairo,electronic
cairo university,"bachelor's degree, computer engineering",Jan 2018 - Aug 2022,abdallahabusedo,cairo,computer
mansoura university,"bachelor's degree, electronics and communication engineering",Sep 2016 - Jul 2021,abdallahamdy,mansoura,electronic
information technology institute (iti),"technical diploma, web &amp; mobile applications development",2017 - 2018,abdallasoliman,#iti,
alexandria higher institute of engineering and technology,"bachelor's degree, bachelor of engineering in computer engineering",2013 - 2017,abdallasoliman,institute,computer
information technology institute (iti),"deploma, open source technologies",Oct 2021 - Jun 2022,abdeladl-shaheen-a313b8164,#iti,
zagazig university,"درجة البكالوريوس , computer science",2017 - 2021,abdeladl-shaheen-a313b8164,zagazig,computer
"faculty of electronic engineering, menoufia university","bachelor's degree, electrical, electronics and communications engineering",2012 - 2019,abdelbaseer-shaheen-b078721a2,menoufia,electronic
alexandria university,"bachelor of engineering - be, computer and systems engineering",2015 - 2022,abdelhakeem,alexandria,computer
higher technological institute,"bachelor of science - bs, mechatronics, robotics, and automation engineering",2013 - 2018,abdelhameed-hassan,institute,mechatronic
zewail city of science and technology,"bachelor of engineering - be, communication and information technology engineering",Sep 2015 - Sep 2021,abdelmoez-elsaadany,zewail city,computer
