User,CompanyUrl,Company,Title,EmploymentType,From,To,Duration,Location,title_tag
%D9%90%D9%90amiraelmergawy,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),teaching assistant,Full-time,Aug 2022,Present,9.0,Egypt,teaching
%D9%90%D9%90amiraelmergawy,https://www.linkedin.com/company/15805726/,National Telecommunication Institute (NTI),mean stack developer,Internship,Nov 2020,Jan 2021,3.0,,full-stack
%D9%90%D9%90amiraelmergawy,https://www.linkedin.com/company/18305384/,الجهاز المركزي للتعبئة العامة و الاحصاء,software developer,Internship,Jul 2019,,1.0,"Cairo, Egypt",software
%D9%90%D9%90amiraelmergawy,https://www.linkedin.com/company/2205041/,(ISCC) Information Systems and Computers Center,software developer,Internship,Aug 2018,,1.0,"Cairo, Egypt",software
-ezz,https://www.linkedin.com/company/30101254/,sonono,software engineer,Full-time,Jan 2022,Present,16.0,"Basel, Switzerland",software
-ezz,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),internship trainee,Full-time,Oct 2021,Jan 2022,4.0,Egypt,internship
-ezz,UNKNOWN,CEL - Consulting Engineering Bureau,senior geotechnical engineer,Full-time,Sep 2019,Aug 2020,12.0,Egypt,
1212mohamedtaha,https://www.linkedin.com/company/777868/,Etisalat Misr,big data engineer,Full-time,May 2022,Present,12.0,"New Cairo, Cairo, Egypt",data
1212mohamedtaha,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),student trainee,Full-time,Apr 2021,Feb 2022,11.0,"El Mansoura, Ad Daqahliyah, Egypt",internship
1212mohamedtaha,https://www.linkedin.com/company/2229028/,"The Translation Gate, LLC",english / arabic translator,Freelance,Jan 2021,Mar 2021,3.0,Remote,
3omarbadr,https://www.linkedin.com/company/18899346/,ACME SAICO - Integrated Engineering Systems -(IES),software engineer,Full-time,Sep 2022,Present,8.0,"Heliopolis, Cairo, Egypt",software
3omarbadr,https://www.linkedin.com/company/85963270/,Geeks,software engineer,Part-time,Sep 2022,Present,8.0,"Amman, Jordan",software
3omarbadr,https://www.linkedin.com/company/3302698/,Numinix Web Development Ltd,software engineer,Full-time,Jan 2022,Aug 2022,8.0,"Alexandria, Egypt",software
3omarbadr,https://www.linkedin.com/company/10700806/,RoQaY,back end engineer,Internship,Oct 2021,Dec 2021,3.0,"El Mansoura, Ad Daqahliyah, Egypt",back-end
3omarbadr,https://www.linkedin.com/company/1369980/,TIEC,trainee at innovegypt program,Internship,Jan 2017,,1.0,"6th of October, Cairo, Egypt",internship
a-mohsen,https://www.linkedin.com/company/10590015/,ItsaCheckmate,software tech lead,,Aug 2022,Present,9.0,,Lead
a-mohsen,https://www.linkedin.com/company/10590015/,ItsaCheckmate,senior software engineer,,May 2021,Aug 2022,16.0,,software
a-mohsen,https://www.linkedin.com/company/10590015/,ItsaCheckmate,software engineer,,May 2020,May 2021,13.0,,software
a-mohsen,https://www.linkedin.com/company/4827017/,Upwork,python developer,Freelance,Aug 2018,Present,57.0,,software
a-mohsen,https://www.linkedin.com/company/623785/,Robusta Studio,software engineer,Full-time,May 2019,Aug 2020,16.0,Egypt,software
a-mohsen,https://www.linkedin.com/company/11505149/,Go Plus for Logistical Services SAE,backend engineer,Part-time,Apr 2019,Jun 2019,3.0,"Cairo Governorate, Egypt",back-end
a-mohsen,https://www.linkedin.com/company/553347/,Appspro,oracle paas developer,,Jul 2018,Dec 2018,6.0,,software
a-mohsen,https://www.linkedin.com/company/553347/,Appspro,oracle paas trainee,,Apr 2018,Jun 2018,3.0,,software
a-nan-farag-b78a0b12b,https://www.linkedin.com/company/235489/,KnowledgeNet,senior java developer,Full-time,May 2021,Present,24.0,"Cairo, Egypt",software
a-nan-farag-b78a0b12b,https://www.linkedin.com/company/27089843/,DG-Well,senior java software engineer,,May 2018,May 2021,37.0,,software
a-nan-farag-b78a0b12b,https://www.linkedin.com/company/6538816/,ITG EGYPT,full stack engineer,,Dec 2016,Apr 2018,17.0,"Villa 8 Mohamed Al Gizawi St. the First Settlement,Cairo,Egypt.",full-stack
a-saeed-h,https://www.linkedin.com/company/3285529/,KIB,senior frontend engineer,Full-time,Aug 2022,Present,9.0,"Kuwait CIty, Kuwait",front-end
a-saeed-h,https://www.linkedin.com/company/18205566/,adam.ai,frontend engineer,Full-time,Feb 2022,Nov 2022,10.0,San Francisco Bay Area,front-end
a-saeed-h,https://www.linkedin.com/company/18837993/,تطوير تقنيات التعليم | Tatweer Educational Technologies,senior frontend engineer,Part-time,Jun 2022,Aug 2022,3.0,Remotely,front-end
a-saeed-h,https://www.linkedin.com/company/19653790/,Digitopia Studio,frontend engineer,Full-time,Mar 2021,Feb 2022,12.0,Morocco,front-end
a-saeed-h,UNKNOWN,Freelance Frontend Engineer,frontend developer,Freelance,Jun 2020,Mar 2021,10.0,Remote,front-end
a-youssry,https://www.linkedin.com/company/1035/,Microsoft,software development engineer,Full-time,Jun 2022,Present,11.0,"Cairo, Egypt",software
a-youssry,https://www.linkedin.com/company/18856360/,Faculty of Engineering Cairo University,teaching assistant,,Sep 2019,Present,44.0,,teaching
a-youssry,https://www.linkedin.com/company/2669/,Valeo,embedded software engineer,,Feb 2021,Jun 2022,17.0,,Embedded
a-youssry,https://www.linkedin.com/company/2669/,Valeo,junior embedded software engineer,,Oct 2019,Jan 2021,16.0,,Embedded
a-youssry,https://www.linkedin.com/company/2697/,Mentor Graphics,software development engineer,,Aug 2019,Oct 2019,3.0,,software
a-youssry,https://www.linkedin.com/company/2669/,Valeo,software development intern,,Jul 2018,Oct 2018,4.0,"Giza Governorate, Egypt",software
aaarafat,https://www.linkedin.com/company/1002265/,iamproperty &amp; iamsold,software engineer,Full-time,May 2022,Present,12.0,,software
aaarafat,https://www.linkedin.com/company/1002265/,iamproperty &amp; iamsold,frontend developer,Part-time,Aug 2021,May 2022,10.0,,front-end
aaarafat,https://www.linkedin.com/company/4827017/,Upwork,frontend developer,Freelance,May 2020,Present,36.0,,front-end
aaarafat,UNKNOWN,Senslr,software engineer,Internship,Jul 2020,Aug 2020,2.0,Egypt,software
aabdelsattaar,https://www.linkedin.com/company/2613211/,NOOR Data Network,systems engineer,,2014,Present,112.0,,IT
aabdelsattaar,https://www.linkedin.com/company/932630/,connectmeTV,system administrator,,Feb 2009,Jun 2014,65.0,Egypt,IT
aabdelsattaar,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),unix system engineer,,2007,2008,12.0,,IT
aalaa-maher,https://www.linkedin.com/company/5250001/,qTech. (alqemam),full stack developer,Full-time,Jul 2022,Present,10.0,"El Mansoura, Ad Daqahliyah, Egypt",full-stack
aalaa-maher,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),trainee,,Oct 2021,Jun 2022,9.0,"El Mansoura, Ad Daqahliyah, Egypt",internship
aashrafh,https://www.linkedin.com/company/10693161/,Blink22,frontend engineer,Full-time,Sep 2022,Present,8.0,"Cairo, Egypt",front-end
aashrafh,https://www.linkedin.com/company/18744334/,Reno Systems,frontend developer,Full-time,Nov 2021,Oct 2022,12.0,"Cairo, Egypt",front-end
aashrafh,https://www.linkedin.com/company/10874637/,"Educative, Inc.",author,Contract,Sep 2021,Apr 2022,8.0,"Cairo, Egypt",
aashrafh,https://www.linkedin.com/company/80381722/,Corporatica,software engineer,Internship,Sep 2021,Nov 2021,3.0,"Cairo, Egypt",software
aashrafh,UNKNOWN,Senslr,software engineer,Internship,Jul 2021,Aug 2021,2.0,"Cairo, Egypt",software
aazmy,https://www.linkedin.com/company/18205566/,adam.ai,devops lead,,Jan 2020,Present,40.0,"Cairo, Egypt",Lead
aazmy,https://www.linkedin.com/company/18205566/,adam.ai,senior software engineer,,Jan 2019,Present,52.0,San Francisco Bay Area,software
aazmy,https://www.linkedin.com/company/18205566/,adam.ai,full stack engineer,,Jul 2017,Jan 2019,19.0,United States,full-stack
aazmy,https://www.linkedin.com/company/2338276/,YOUXEL Technology,software engineer,Full-time,Jun 2016,Jun 2017,13.0,"Cairo Governorate, Egypt",software
aazmy,UNKNOWN,MOPL Organization,software engineer,Full-time,Dec 2013,May 2016,30.0,"Giza Governorate, Egypt",software
abanoub-labib-706b1a50,https://www.linkedin.com/company/1862288/,Coformatique,engineering manager,Full-time,Mar 2023,Present,2.0,,Lead
abanoub-labib-706b1a50,https://www.linkedin.com/company/1862288/,Coformatique,ios developer,,Nov 2022,Jan 2023,3.0,,mobile
abanoub-labib-706b1a50,https://www.linkedin.com/company/2831404/,Authority Partners,mobile team lead,,Jul 2021,Sep 2022,15.0,,Lead
abanoub-labib-706b1a50,https://www.linkedin.com/company/2831404/,Authority Partners,senior software developer - xamarin,,Sep 2020,Jul 2021,11.0,,mobile
abanoub-labib-706b1a50,https://www.linkedin.com/company/145787/,Link Development,mobile apps specialist,Full-time,Jan 2020,Sep 2020,9.0,,mobile
abanoub-labib-706b1a50,https://www.linkedin.com/company/145787/,Link Development,senior xamarin mobile developer,,Feb 2018,Jan 2020,24.0,,mobile
abanoub-labib-706b1a50,https://www.linkedin.com/company/145787/,Link Development,xamarin mobile developer,,Sep 2017,Jan 2018,5.0,,mobile
abanoub-labib-706b1a50,https://www.linkedin.com/company/1862288/,Coformatique,mobile developer,,Jul 2015,Aug 2017,26.0,Nasr City,mobile
abanoubanis,https://www.linkedin.com/company/139006/,"ARPU
                                                                                Telecommunication Services
                                                                                (ArpuPlus)",software development senior specialist,,Jan 2022,Present,16.0,"Al Jizah, Egypt",software
