,Title
6,senior geotechnical engineer
9,english / arabic translator
48,author
95,open source fellow
133,customer service representative
150,graduate
151,participant
171,senior customer care representative premium
172,high value customer care representative
177,founder
182,technical screener
234,technical consultant
251,online tutor
288,graphic designer
340,academic pm
367,technical support engineer
374,computer engineer
417,professional freelancer
418,mentor and project reviewer
420,upwork guru
435,telesales agent
462,soldier
464,technical support
473,consultant
475,junior consultant
479,ceo &amp; founder
494,ibm ambassador
511,reserve officer
515,egypt appfactory technical trainer
544,technician development specialist
550,ride operator
561,department supervisor
601,information technology engineer
610,customer service representative
615,local founding team member
649,training
672,cst
675,utw-11 program
727,gear-up academy
744,lte framework engineer
767,freelancer
769,product management enginneer
777,computer &amp; communications engineering
782,marketing executive
795,system engineer
800,content contributor
809,autin engineer
821,technical product owner
824,sr. product owner | b2b technical-operational strategy managing
825,"sr. consult | business operations | business growth | compliance | product management - b2b,b2c"
826,crisis management | reporting | customer support - sr. specialist
828,sr. specialist - customer support - email &amp; chat
913,sourcing analyst
929,عضو في برنامج فرصه
930,volunteer
935,engineering head
936,top 60 finalists for the middle east &amp;north africa and sub-saharan africa
939,winning the second place
952,founder
953,project engineer
965,participant
996,trinee at the technology innovation and entrepreneurship
1000,social media marketer
1042,clinical engineer
1079,analog ic design training
1090,project management
1092,information technology support specialist
1093,sales generalist
1111,customer support representative
1116,part time robotics trainer
1148,conference reviewer
1159,maintenance engineer
1160,innovation and entrepreneurship center
1166,application support engineer
1203,co-founder
1206,graduation project
1208,workshop participant
1222,content creator
1223,content creator
1233,valeo gear up academy
1250,hardware engineer
1251,graduation project
1257,media member
1268,member
1292,project engineer
1293,technical office engineer
1313,9 months scholarship track ai
1316,tendering engineer
1322,demonstrator
1334,icpc world finalist - @dhaka
1347,aws learner
1369,english customer service representative
1372,computer engineering undergraduate
1379,customer advisor
1382,applied scientist at microsoft dtp cto team
1384,chairman
1387,technical support engineer
1388,junior technical support engineer
1427,first lieutenant
1429,(freelancer)
1444,senior expert of ai
1467,product owner
1469,duty doctor
1482,technical office engineer
1483,electrical maintenance engineer
1484,electrical engineer
1518,project team member
1522,treasurer
1523,fr director
1524,hr volunteer
1525,vice linking (pr&amp;fr)
1526,linking (fr&amp;pr)member
1544,"co-founder, social media marketing"
1549,production engineer
1577,information technology specialist
1578,junior system management
1580,graphic designer
1605,online self learning
1623,co-founder of makers co.
1631,founder
1632,translator
1643,senior sales executive
1644,senior sales executive
1645,business development specialist
1646,account coordinator
1648,advertiser
1649,junior technical support engineer
1651,exam invigilator
1661,technical support engineer 2
1662,techinal support engineer
1688,co-founder
1693,gsoc contributer
1700,universal teller
1702,complaints agent
1704,telemarketer
1712,system integration &amp; release engineer
1714,veloce emulator training
1717,freelance
1729,co-founder
1733,reserve officer
1740,gear up training
1750,freelancer
1760,vice head of the electrical team
1765,soldier
1767,"managing consultant, pmp"
1768,application programmer
1781,ceo &amp; founder
1794,r&amp;d engineer 3d printing
1796,summer workshop
1803,electrical engineer
1828,organization development consultant
1836,erp system analyst
1840,sales floor team member
1841,customer service agent
