User,Skill1,Skill2,Skill3
%D9%90%D9%90amiraelmergawy,programming,web development,java
-ezz,web development,javascript,node
1212mohamedtaha,natural language processing (nlp),datastage,teradata
3omarbadr,php,laravel,sql
a-mohsen,google cloud platform (gcp),optimization,scalability
a-nan-farag-b78a0b12b,java,microservices,spring framework
a-saeed-h,design system,chakra ui,rtk
a-youssry,teamwork,research,c
aaarafat,front-end,react,javascript
aabdelsattaar,linux,red hat linux,shell scripting
aalaa-maher,asp.net,asp.net mvc,angular
aashrafh,material-ui,typescript,react
aazmy,software development life cycle (sdlc),software architectural design,devops
abanoub-labib-706b1a50,swiftui,swift (programming language),c# .net
abanoubanis,asp.net,angular,solid design principles
abdallah-95,c#,java,sql
abdallah-mahmoud-6b08b914b,uds protocol,bootloader,vector cast
abdallah-rashad-28973a218,embedded c,embedded software programming,microcontrollers
abdallahabusedo,next.js,typescript,redux.js
abdallahamdy,windows server,red hat enterprise linux (rhel),python
abdallasoliman,programming,software development,databases
abdeladl-shaheen-a313b8164,html,css,microsoft excel
abdelbaseer-shaheen-b078721a2,tableau,sql,pyspark
abdelhakeem,qt,dear imgui,cmake
abdelhameed-hassan,react,typescript,javascript
abdelkader-zayed-7959b2a3,javascript,css,asp.net
abdelmoez-elsaadany,python,machine learning,deep learning
abdelmotey,web development,javascript,git
abdelnazir,html,html,html
abdelrahman-akl,automation,istqb,agile methodologies
abdelrahman-ellethy-b840b3153,customer service,customer support,software testing(istqb)
abdelrahman-hammam-7b090b9b,agile project management,software testing,rest apis
abdelrahman-mamdouh-60b318157,data analysis,verilog,vhdl
abdelrahman-mohamedd,mern stack,mean stack,front-end
abdelrahman-osama-074758246,functional testing,performance testing,selenium webdriver
abdelrhman-basyoni,nestjs,typescript,node
abdelrhman-elsaadi-41773070,oop,web development,healthcare information technology (hit)
abdelrhman-mohamed-ashraf-7bb43410b,linux,programming language c#,web application security
abdelrhman-mostafa-087808168,microservices,graphql,typescript
abdelrhmanafifi,uds,bootloader,embedded software
abdofawzi5,postgre,postgres,postgis
abdolrhman,sql,socket.io,redux
abdomagdy,javascript,react,redux.js
abdullah-alhadidi,software development,game development,c++
abdullah-hanfy,autosar,embedded systems,c++
abdullahadel41,express,react,vue
abdulrahman-fouad-066763104,jakarta persistence,javafx,hibernate
abdulrahman-shahat-499862181,python,computer vision,open-cv
abdulrahmanmahmoud,java,html,python
adel-el-nabarawy-25a3391b7,machine learning,data science,python
adel-m-aek,multithreading,python,c++
adel-sadek-1aa018148,html,javascript,css
adham-hesham-15b8b21a9,c++,qt,machine learning
adham-mamdouh-1941b518b,go (programming language),ruby on rails,ruby
aelrewaidy,python,machine learning,natural language processing (nlp)
aessam,software development,mobile applications,android
ahmad-adel-elkilany-3b48a5109,c (programming language),python,programming
ahmad-gadallah-33060a17a,c++,object-oriented programming (oop),data structures
ahmaddosama,regression analysis,test automation,agile methodologies
ahmadhindawy,atmel avr,arduino,eagle pcb
ahmawad96,"extract, transform, load (etl)",sql,extract load transform (elt)
ahmdelemam,ruby on rails,ruby,elasticsearch
ahmed-abdelmalek,python,programming,management
ahmed-abdelsalam-a8933842,microsoft office,microsoft excel,customer service
ahmed-alsaey-995017177,node,sql,amazon web services (aws)
ahmed-amin-hassan-6aa619212,ios,swiftui,swift (programming language)
ahmed-ayman-3741551a5,programming,python,data structures
ahmed-bahaa-584346147,sql,"problem solving , presentation skills and other soft skills",object-oriented programming (oop)
ahmed-el-shoubashy-70237519a,data structures,go (programming language),c++
ahmed-elabd-b30977152,apollo graphql,vue,vue
ahmed-elbatrawy-9a1480103,liquibase,sonarqube,mongodb
ahmed-eldakhakhny,software quality assurance,testing,test automation
ahmed-elgarem-b996b065,microsoft office,microsoft excel,microsoft word
ahmed-elqaffas,java,android,web development
ahmed-elsayedm,c++,c (programming language),python
ahmed-esam-elzlabany-0157a5181,programming,web development,software development
ahmed-gabal-106195131,data science,machine learning,python
ahmed-ghanem-968496164,rdbms,sql,elasticsearch
ahmed-hamdy-abdel-gawad-50878325,c++,c,computer architecture
ahmed-hani-ibrahim-07270960,artificial intelligence,oop,data structures
ahmed-hisham-7a250260,algorithms,software development,problem solving
ahmed-ihab-54b1a1195,jira,jenkins,git
ahmed-khaled-221433142,microsoft office,java,c++
ahmed-khaled-86b6b1151,microservices,spring security,spring data
ahmed-khaled-a53363193,laravel,jest,suitescript
ahmed-khaled-b907b4144,strategic analysis,r (programming language),quantitative analytics
ahmed-khalil-357152199,c#,socket programming,message broker
ahmed-m-hamed,css,github,gitlab
ahmed-m-ibrahim-4a3b3416a,istqb,agile methodologies,test automation
ahmed-mamdouh-7bb701192,node,express,sql
ahmed-moamen-897359180,pytorch,continuous integration and continuous delivery (ci/cd),octave
ahmed-mohamed-akl,java,javascript,xml
ahmed-mokbel-105b53168,python,machine learning,deep learning
ahmed-nageh-0921b9128,leadership,public speaking,research
ahmed-qandeel,embedded systems,c (programming language),software testing
ahmed-salah-1a3926162,تطوير الواجهة الأمامية,html,asp.net
ahmed-samir-58250284,web development,machine learning,data science
ahmed-samir-83474a121,web development,full-stack,react
ahmed-samir-b0206b1b8,unit testing,docker,kubernetes
ahmed-samy-datascientist,artificial intelligence (ai),machine learning,data science
ahmed-sayed-mansour-139101182,django,git,software development
ahmed-senjer-519207168,asp.net mvc,c#,asp.net web api
ahmed-shaarawy-1982ab145,react,react,javascript
ahmed-wael-3b61a0111,software development,program management,project management
ahmed-wasfey-sleem,teaching,computer graphics,data visualization
ahmed-younis-57208a150,node,software engineering,android development
ahmed-yousry12,java,javascript,microservices
ahmed-youssef-32781713a,mobile application development,uikit,core animation
ahmed-zakaria-20184a146,linux,engineering,project management
ahmedabdallahnasr,.net core,mongodb,sql
ahmedabuamra,hacklang,hacklang,hack
ahmedashraf97,programming,web development,computer vision
ahmedelkhaberi,google cloud platform (gcp),object-oriented programming (oop),java enterprise edition
ahmedeltaweel,go (programming language),python,django
ahmedessam-12,.net framework,contract testing,pact.io
ahmedfathykhalid,software development,programming,c#
ahmedfrontend,front-end,entity framework (ef) core,.net core
ahmedhamed2020,microsoft office,leadership,strategic planning
ahmedhemaz,node,angular,java
ahmedhussam,ado.net,.net,oop
ahmedkhames,networking,digital designs,git
ahmedmabrouck,outsystems,object-oriented programming (oop),c#
ahmedmks,c++,c#,unity
ahmedmuti,html,vue,php
ahmednasser23,java,android development,web applications
ahmednmahran,cross-functional team leadership,continuous integration and continuous delivery (ci/cd),team leadership
ahmedosama9777,python,django,linux
ahmedramzy1795,swift (programming language),rxswift,objective-c
ahmedshalaby96,model-view-controller (mvc),rest apis,back-end
ahmedtremo,python,sql,kubernetes
ahmedyassernosseir,mobile application development,sql,docker
ahmibr68,c++,data structures,algorithms
aielawady,machine learning,computer vision,deep learning
akabdelrahman,c++,machine learning,deep learning
alaa-mady-7a8aa51a8,html,css,react
alaa-magdy-25a666189,next.js,react,react
alaa-moaataz-3740308b,android development,java,kotlin
alaa-moustapha,express,node,freelance
alaaelnagy,devops,cloud computing,networking
alaagamaall,python,research,c++
ali-harby-4103b7169,django,linux,laravel
aliaa-attia,next.js,git,linux
aliaa-yasser,asp.net mvc,sql,object-oriented programming (oop)
aliabdelaal,machine learning,natural language processing,text mining
alielsherbiny,teamwork,problem solving,teaching
alien0x,javascript,php,sql
alimagedayad,celery,sql,django
aly-ramzy-24450b179,web development,c#,c++
aly-sabry-4b1a50185,front-end,back-end,web development
alyeldegwy,angular,node,vue
alyymagdy,leadership,c++,c
aman-allah-rafat,java,data structures,object-oriented programming (oop)
amina-gaber-088026a5,microsoft office,c++,python
amir-attya,c#,web services api,web services
amira-ashmawy-247252a1,crm integration,integration,rest apis
amira-atef-7a90a5156,sql,html,develop wcf and restful web services
amira-khaled-mokhtar,pyspark,kafka,ddl
amira-mamoun-395b4862,c++,java,programming
amira-nagi-6b705235,c,servlets,jsf
amiramamdouh,matlab programming,c programming,multisim
amiramohkamal,self learning,team workshops,listen
aml-esmail-42a8b611b,actionscript,javascript,html
ammar21,software development life cycle (sdlc),software engineernig,agile application development
amoharib,python,geographic information systems (gis),android development
amr-alaaeldin-ismail,sql,spring boot,mongodb
amr-anwr-aa92211b2,agile methodologies,problem solving,data structures
amr-el-agamy-45a72a2,algorithms,c++,java
amr-elsersy-a29484198,computer vision,lidar,c++
amr-elsherbiny-769092138,sql,linux,docker
amr-elyamany-0158a26b,java,c,c++
amr-galaleldin-2011,react,object-oriented programming (oop),spring boot
amr-khaled-632427199,microsoft power bi,express,mongodb
amr-m-abdelgawad,c (programming language),embedded c,embedded systems
amr-magdy-095007131,problem solving,c++,object-oriented programming (oop)
amr-mohamed-foad,html,xml,object-oriented programming (oop)
amr-muhammed,jenkins,git,prometheus.io
amrelrouby,c++,software design,software development
amrmustafa97,machine learning,python,object-oriented programming (oop)
amroakmal,google cloud platform (gcp),multithreading,concurrent programming
amrtarekmo,problem solving,object-oriented programming (oop),software development
antoun-wagdy-025443b6,c++,c++,c++
arrashed,java,akka,scala
arwa-mohammed-abdelhamid,graphic design,programming,sql
asmaa-aman,responsive web design,html,redux.js
asmaa-elsayed-ahmed,python,bash,red hat enterprise linux (rhel)
asmaa-esam-a17b23189,communication,english,mobile application development
asmaa-salem-a11741124,css,vue,progressive web applications (pwas)
asmmo,c++,rust (programming language),concurrent programming
assem-salama-913a0a180,programming,mobile application development,front-end
atefgad,redux.js,postman api,rest apis
aya-ahmed-aab471256,jquery,front-end,model-view-controller (mvc)
aya-ali-78bba91a2,object-oriented programming (oop),php,e-commerce
aya-el-ashry,embedded systems,c++,social media marketing
aya-hussein-19a359134,object-oriented programming (oop),programming,python
aya-magdy13892,sales processes,auditing,customer support
ayaelsayed,technical project management,team management,sql
ayah-elmaghraby,java,c#,parsing
ayatoullah-ramzy,css,javascript,react
